LATITUDE;LONGITUDE;ANNUAL
-31,90;-53,25;4631
-31,90;-53,15;4613
-31,90;-53,05;4604
-31,90;-52,95;4615
-31,90;-52,85;4617
-31,90;-52,75;4608
-31,90;-52,65;4596
-31,90;-52,55;4588
-31,90;-52,45;4595
-31,90;-52,35;4618
-31,90;-52,25;4640
-31,90;-52,15;4665
-31,90;-52,05;4632
-31,90;-51,95;4652
-31,90;-51,85;4633
-31,90;-51,75;4702
-31,80;-54,35;4857
-31,80;-54,25;4860
-31,80;-54,15;4827
-31,80;-54,05;4802
-31,80;-53,95;4782
-31,80;-53,85;4764
-31,80;-53,75;4764
-31,80;-53,65;4771
-31,80;-53,55;4737
-31,80;-53,45;4691
-31,80;-53,35;4655
-31,80;-53,25;4625
-31,80;-53,15;4599
-31,80;-53,05;4594
-31,80;-52,95;4576
-31,80;-52,85;4582
-31,80;-52,75;4595
-31,80;-52,65;4573
-31,80;-52,55;4560
-31,80;-52,45;4556
-31,80;-52,35;4577
-31,80;-52,25;4625
-31,80;-52,15;4681
-31,80;-52,05;4699
-31,80;-51,95;4714
-31,80;-51,85;4732
-31,80;-51,75;4719
-31,80;-51,65;4708
-31,80;-51,55;4737
-31,70;-54,45;4858
-31,70;-54,35;4862
-31,70;-54,25;4857
-31,70;-54,15;4838
-31,70;-54,05;4809
-31,70;-53,95;4788
-31,70;-53,85;4766
-31,70;-53,75;4752
-31,70;-53,65;4753
-31,70;-53,55;4744
-31,70;-53,45;4708
-31,70;-53,35;4677
-31,70;-53,25;4635
-31,70;-53,15;4606
-31,70;-53,05;4591
-31,70;-52,95;4584
-31,70;-52,85;4582
-31,70;-52,75;4569
-31,70;-52,65;4557
-31,70;-52,55;4535
-31,70;-52,45;4529
-31,70;-52,35;4553
-31,70;-52,25;4593
-31,70;-52,15;4645
-31,70;-52,05;4711
-31,70;-51,95;4745
-31,70;-51,85;4792
-31,70;-51,75;4790
-31,70;-51,65;4773
-31,70;-51,55;4728
-31,70;-51,45;4720
-31,70;-51,35;4755
-31,60;-54,45;4864
-31,60;-54,35;4860
-31,60;-54,25;4853
-31,60;-54,15;4841
-31,60;-54,05;4816
-31,60;-53,95;4792
-31,60;-53,85;4764
-31,60;-53,75;4750
-31,60;-53,65;4748
-31,60;-53,55;4752
-31,60;-53,45;4728
-31,60;-53,35;4691
-31,60;-53,25;4657
-31,60;-53,15;4627
-31,60;-53,05;4607
-31,60;-52,95;4587
-31,60;-52,85;4591
-31,60;-52,75;4573
-31,60;-52,65;4548
-31,60;-52,55;4531
-31,60;-52,45;4517
-31,60;-52,35;4540
-31,60;-52,25;4573
-31,60;-52,15;4625
-31,60;-52,05;4688
-31,60;-51,95;4732
-31,60;-51,85;4787
-31,60;-51,75;4803
-31,60;-51,65;4793
-31,60;-51,55;4758
-31,60;-51,45;4709
-31,60;-51,35;4708
-31,60;-51,25;4755
-31,50;-54,65;4885
-31,50;-54,55;4874
-31,50;-54,45;4873
-31,50;-54,35;4865
-31,50;-54,25;4847
-31,50;-54,15;4825
-31,50;-54,05;4811
-31,50;-53,95;4798
